order_id,customer_email,order_date,item_price,quantity,shipping_country,status
ORD-01108,maria.tanaka@outlook.com,2025-06-21,73.52,5,MX,pending
ORD-01040,noah.silva@icloud.com,2025-06-06,36.18,6,IN,pending
ORD-01061,priya.rossi@gmail.com,2026-05-09,32.14,4,MX,pending
ORD-01109,hana.brown@gmail.com,2026-03-04,47.94,6,BR,delivered
ORD-01007,hana.silva@yahoo.com,2026-03-10,40.91,2,FR,pending
ORD-01111,sam.kim@yahoo.com,2025-06-23,22.32,2,JP,cancelled
ORD-01100,mateo.brown@proton.me,2025-12-27,54.8,1,MX,pending
ORD-01062,tariq.andersson@icloud.com,2026-02-22,65.28,4,BR,cancelled
ORD-02501,maria.cohen@proton.me,2026-03-04,24.04,0,DE,delivered
ORD-02300,sam.hassan@icloud.com,2025-07-22,-19.99,5,US,delivered
ORD-01028,sofia.andersson@outlook.com,2026-01-10,47.38,1,BR,pending
ORD-02500,priya.lopez@outlook.com,2026-03-23,68.49,0,JP,pending
ORD-02502,aiko.dubois@gmail.com,2025-10-21,16.31,0,JP,cancelled
ORD-01096,maria.brown@yahoo.com,2025-10-04,48.51,3,GB,pending
ORD-01102,noah.garcia@proton.me,2025-10-14,63.26,4,FR,pending
ORD-01024,james.kim@gmail.com,2025-09-11,31.66,6,BR,shipped
ORD-01137,mateo.mueller@icloud.com,2025-12-03,30.33,2,MX,delivered
ORD-01053,james.murphy@icloud.com,2025-10-22,39.2,3,AU,pending
ORD-01140,yuki.nguyen@icloud.com,2025-09-18,78.94,2,FR,cancelled
ORD-01058,elena.hassan@gmail.com,2025-12-28,35.08,4,MX,delivered
ORD-01152,sofia.park@gmail.com,2026-01-11,75.09,2,GB,delivered
ORD-01063,lucas.rossi@gmail.com,2026-04-08,69.49,2,GB,cancelled
ORD-01033,grace.smith@gmail.com,2025-08-06,48.38,5,GB,pending
ORD-01034,diego.tanaka@outlook.com,2026-04-27,56.65,6,DE,cancelled
ORD-02700,anika.dubois@icloud.com,2026-04-22,42.7,3,JP,refunded
ORD-01097,hana.cohen@gmail.com,2026-04-29,43.05,1,MX,pending
ORD-01146,liam.murphy@outlook.com,2025-08-30,24.5,4,JP,cancelled
ORD-01004,elena.murphy@yahoo.com,2025-12-07,57.26,1,BR,pending
ORD-01143,omar.suzuki@icloud.com,2025-11-18,72.57,3,CA,shipped
ORD-01093,liam.hassan@outlook.com,2026-02-23,30.15,4,FR,delivered
ORD-01142,yuki.nguyen@gmail.com,2025-11-11,15.97,5,CA,cancelled
ORD-01155,aiko.cohen@proton.me,2025-11-28,50.93,1,BR,shipped
ORD-02001,,2026-04-14,36.88,3,FR,delivered
ORD-01088,felix.suzuki@icloud.com,2026-05-27,51.16,2,CA,shipped
ORD-01021,yuki.patel@yahoo.com,2025-11-09,84.66,6,JP,cancelled
ORD-01125,tariq.murphy@icloud.com,2025-10-11,16.07,2,AU,shipped
ORD-01068,grace.hassan@gmail.com,2026-03-23,25.56,4,GB,shipped
ORD-01083,diego.kim@gmail.com,2025-10-29,72.56,1,AU,delivered
ORD-01138,sofia.murphy@gmail.com,2025-12-25,70.2,1,MX,delivered
ORD-01002,yuki.patel@icloud.com,2025-10-30,30.43,5,FR,pending
ORD-01106,tariq.murphy@proton.me,2025-06-14,36.29,4,FR,cancelled
ORD-02451,diego.lopez@gmail.com,2026-02-09,445.0,5,US,pending
ORD-01054,elena.brown@outlook.com,2026-01-22,18.11,4,US,shipped
ORD-01011,hana.rossi@outlook.com,2025-08-18,52.73,6,MX,cancelled
ORD-01110,noah.brown@proton.me,2025-07-11,72.0,1,BR,delivered
ORD-01075,priya.silva@yahoo.com,2025-12-11,68.29,4,FR,cancelled
ORD-01095,hana.smith@gmail.com,2025-08-22,35.45,2,BR,pending
ORD-01132,nora.brown@outlook.com,2026-02-03,47.28,3,BR,delivered
ORD-02401,grace.brown@icloud.com,2026-04-19,899.99,2,GB,pending
ORD-01085,tariq.andersson@icloud.com,2026-01-15,37.56,2,CA,delivered
ORD-01081,priya.tanaka@icloud.com,2025-06-13,73.14,2,CA,delivered
ORD-01016,hana.novak@outlook.com,2025-09-15,78.88,6,FR,shipped
ORD-02450,hana.patel@icloud.com,2026-04-04,410.0,1,FR,cancelled
ORD-02400,diego.patel@proton.me,2025-10-30,612.0,2,JP,delivered
ORD-02402,aiko.suzuki@proton.me,2025-06-28,1450.0,5,BR,cancelled
ORD-01147,anika.rossi@proton.me,2025-07-01,21.93,4,MX,cancelled
ORD-01074,aiko.andersson@outlook.com,2025-10-08,27.72,3,AU,delivered
ORD-01119,yuki.rossi@proton.me,2026-02-24,79.53,5,GB,pending
ORD-01092,omar.silva@yahoo.com,2025-12-27,32.6,1,DE,delivered
ORD-01139,sofia.tanaka@yahoo.com,2025-12-16,67.32,2,DE,shipped
ORD-01153,noah.murphy@gmail.com,2026-03-26,16.04,2,MX,delivered
ORD-01084,tariq.rossi@proton.me,2026-03-03,66.37,6,FR,cancelled
ORD-01032,sofia.patel@yahoo.com,2026-02-10,82.81,5,IN,pending
ORD-01104,anika.patel@proton.me,2026-04-04,53.12,6,GB,delivered
ORD-01124,sofia.cohen@gmail.com,2026-03-29,50.16,5,JP,pending
ORD-01101,priya.patel@yahoo.com,2025-06-28,20.68,2,GB,pending
ORD-01071,maria.nguyen@yahoo.com,2025-11-14,74.74,4,IN,shipped
ORD-01012,anika.dubois@yahoo.com,2026-02-09,84.81,2,IN,cancelled
ORD-01141,mateo.kim@gmail.com,2025-10-05,82.4,2,DE,cancelled
ORD-01008,felix.khan@icloud.com,2026-01-27,26.44,4,FR,shipped
ORD-01042,hana.lopez@icloud.com,2026-02-14,65.23,2,FR,cancelled
ORD-01117,aiko.mueller@gmail.com,2025-10-08,81.29,6,GB,cancelled
ORD-01010,dupe1@gmail.com,2026-02-13,60.88,4,BR,shipped
ORD-01006,aiko.smith@outlook.com,2026-01-04,83.97,2,CA,cancelled
ORD-01076,hana.tanaka@proton.me,2026-05-23,67.43,1,JP,shipped
ORD-01086,tariq.mueller@proton.me,2025-08-14,57.72,4,JP,pending
ORD-01130,grace.smith@yahoo.com,2025-11-30,41.24,2,DE,cancelled
ORD-01099,felix.park@icloud.com,2026-02-06,69.3,4,BR,cancelled
ORD-01052,yuki.kim@gmail.com,2026-04-03,76.39,3,GB,delivered
ORD-01049,lucas.suzuki@outlook.com,2025-06-07,22.57,1,BR,shipped
ORD-01036,anika.brown@icloud.com,2025-12-22,80.43,2,JP,shipped
ORD-01047,lucas.murphy@yahoo.com,2025-08-19,76.89,4,MX,shipped
ORD-01046,sam.rossi@gmail.com,2025-12-26,40.53,1,JP,shipped
ORD-01020,sofia.cohen@icloud.com,2026-03-09,33.55,5,AU,shipped
ORD-01078,lucas.rossi@proton.me,2025-06-24,23.01,2,BR,delivered
ORD-01066,nora.silva@yahoo.com,2026-01-26,73.79,3,IN,cancelled
ORD-01067,lucas.suzuki@proton.me,2026-04-23,64.95,2,FR,delivered
ORD-01157,elena.andersson@gmail.com,2025-09-23,64.87,4,CA,pending
ORD-01056,mateo.novak@yahoo.com,2025-06-25,43.59,4,FR,shipped
ORD-01149,omar.hassan@yahoo.com,2026-05-01,42.87,2,CA,cancelled
ORD-01031,elena.suzuki@proton.me,2026-01-06,44.61,6,IN,cancelled
ORD-01005,elena.tanaka@icloud.com,2026-01-02,73.06,5,JP,shipped
ORD-01022,diego.silva@gmail.com,2026-01-26,30.73,3,US,shipped
ORD-01131,anika.khan@outlook.com,2026-03-04,20.53,4,MX,shipped
ORD-01064,james.hassan@outlook.com,2026-03-31,46.95,4,IN,delivered
ORD-01134,anika.lopez@proton.me,2025-06-13,32.51,3,DE,cancelled
ORD-01091,nora.hassan@icloud.com,2025-12-07,44.79,6,IN,delivered
ORD-01043,hana.smith@gmail.com,2025-07-12,44.65,3,US,pending
ORD-01107,tariq.tanaka@icloud.com,2026-05-12,77.26,6,JP,delivered
ORD-01133,maria.silva@yahoo.com,2025-06-20,53.26,1,BR,delivered
ORD-01103,lucas.lopez@yahoo.com,2025-06-07,75.17,1,DE,delivered
ORD-01013,aiko.smith@gmail.com,2026-03-15,58.92,6,AU,pending
ORD-01057,priya.andersson@proton.me,2025-06-20,67.37,2,MX,delivered
ORD-01015,yuki.suzuki@yahoo.com,2026-04-05,35.55,2,BR,pending
ORD-01158,grace.park@outlook.com,2026-04-29,23.83,5,MX,delivered
ORD-01128,felix.tanaka@outlook.com,2025-07-13,62.91,3,DE,pending
ORD-01121,anika.brown@proton.me,2026-03-17,46.26,4,JP,delivered
ORD-02201,lucas.murphy@yahoo.com,2026-12-31,40.73,3,MX,shipped
ORD-01048,lucas.khan@outlook.com,2025-11-02,16.74,6,JP,cancelled
ORD-02000,,2025-10-24,46.61,2,AU,delivered
ORD-01010,priya.brown@yahoo.com,2026-02-13,60.88,4,BR,shipped
ORD-01145,tariq.lopez@proton.me,2026-04-03,24.78,1,FR,cancelled
ORD-01098,sofia.rossi@icloud.com,2025-12-28,20.96,2,CA,cancelled
ORD-02601,felix.silva@yahoo.com,2026-04-17,45.57,1,ZZ,cancelled
ORD-01023,anika.mueller@gmail.com,2026-04-26,64.55,1,DE,pending
ORD-02301,maria.khan@yahoo.com,2025-06-07,-5.0,3,JP,pending
ORD-01073,noah.silva@outlook.com,2025-07-18,52.39,4,MX,pending
ORD-01094,liam.patel@yahoo.com,2026-02-05,40.26,3,US,shipped
ORD-01150,aiko.patel@icloud.com,2026-05-22,18.54,3,DE,shipped
ORD-01009,grace.smith@outlook.com,2026-05-16,71.35,4,FR,pending
ORD-01115,priya.suzuki@icloud.com,2026-03-26,79.94,4,BR,pending
ORD-02302,noah.rossi@icloud.com,2025-06-30,-120.5,2,US,pending
ORD-01079,omar.khan@icloud.com,2025-07-26,82.46,6,CA,shipped
ORD-01018,nora.garcia@gmail.com,2025-11-28,76.51,3,DE,pending
ORD-01129,sam.murphy@gmail.com,2025-10-17,26.65,3,US,pending
ORD-01090,maria.tanaka@yahoo.com,2026-02-08,43.31,2,FR,delivered
ORD-01014,elena.dubois@icloud.com,2025-10-05,52.04,5,US,pending
ORD-01151,anika.patel@gmail.com,2025-08-22,29.5,2,DE,delivered
ORD-01070,sam.dubois@icloud.com,2025-06-10,16.37,5,AU,cancelled
ORD-01077,aiko.smith@gmail.com,2026-01-26,28.96,1,MX,shipped
ORD-01113,grace.murphy@proton.me,2025-09-11,72.74,1,IN,cancelled
ORD-01120,hana.andersson@yahoo.com,2025-09-15,33.7,1,FR,delivered
ORD-01017,sofia.nguyen@outlook.com,2025-08-29,81.74,5,US,delivered
ORD-01112,nora.lopez@proton.me,2025-08-24,17.57,1,JP,delivered
ORD-01038,maria.silva@icloud.com,2025-08-17,84.73,1,IN,shipped
ORD-01080,mateo.murphy@icloud.com,2026-05-19,80.02,5,AU,cancelled
ORD-01082,felix.murphy@icloud.com,2026-05-11,39.3,4,JP,pending
ORD-01159,elena.park@icloud.com,2026-01-02,46.76,5,AU,pending
ORD-01020,dupe2@gmail.com,2026-03-09,33.55,5,AU,shipped
ORD-02100,bob.smithgmail.com,2026-05-02,56.05,5,IN,delivered
ORD-01114,sam.smith@outlook.com,2025-09-09,40.32,4,BR,pending
ORD-01148,hana.smith@yahoo.com,2026-02-10,46.04,2,JP,pending
ORD-01144,nora.garcia@icloud.com,2025-08-18,37.96,5,DE,pending
ORD-01118,mateo.novak@yahoo.com,2025-11-01,73.43,4,DE,cancelled
ORD-01126,aiko.cohen@yahoo.com,2025-12-10,58.63,4,CA,delivered
ORD-01000,dupe0@gmail.com,2026-01-27,30.62,6,CA,pending
ORD-01045,liam.tanaka@outlook.com,2025-08-26,17.52,3,MX,shipped
ORD-01019,lucas.brown@gmail.com,2026-04-19,66.23,1,IN,shipped
ORD-02101,alice@@nodomain,2025-06-26,80.88,4,US,delivered
ORD-01039,diego.suzuki@outlook.com,2025-12-05,76.66,2,JP,delivered
ORD-01154,maria.khan@yahoo.com,2026-05-06,23.87,4,IN,pending
ORD-01044,grace.rossi@yahoo.com,2026-03-11,66.89,5,AU,pending
ORD-01050,priya.silva@yahoo.com,2025-12-27,72.44,2,DE,pending
ORD-01065,tariq.park@icloud.com,2025-10-26,73.14,5,BR,shipped
ORD-02600,anika.dubois@proton.me,2026-01-04,23.06,1,XX,shipped
ORD-01026,liam.murphy@proton.me,2025-12-02,44.65,4,US,pending
ORD-01060,mateo.novak@icloud.com,2025-12-12,21.54,2,FR,shipped
ORD-01037,hana.dubois@outlook.com,2025-06-23,60.19,4,JP,pending
ORD-02002,,2026-04-16,73.22,1,AU,pending
ORD-02701,grace.khan@gmail.com,2025-09-13,59.33,5,IN,returned
ORD-01089,sam.cohen@icloud.com,2026-01-29,63.34,6,BR,cancelled
